Cognate_ID,Form_ID,Cognateset_ID,Comment
1,1,all1,
2,2,arm7,
3,3,ashes17,
4,4,bark23,
5,5,belly1,
6,6,big1,
7,7,bird1,
8,8,bite6,
9,9,black21,
10,10,blood11,
11,11,bone10,
12,12,breast2,
13,13,burn23,
14,14,cloud19,
15,15,cold26,
16,16,come3,
17,17,dig19,
18,18,dig20,
19,19,dig21,
20,20,die1,
21,21,dog1,
22,22,drink1,
23,23,dry12,
24,24,ear1,
25,25,eat1,
26,26,egg19,
27,27,elephant1,
28,28,eye1,
29,29,fall1,
30,30,fat10,
31,31,feather19,
32,32,finger1,
33,33,fire13,
34,34,fish1,
35,35,fly1,
36,36,full8,
37,37,give10,
38,38,go_to12,
39,39,hair3,
40,40,head9,
41,41,hear10,
42,42,heart3,
43,43,horn13,
44,44,house9,
45,45,kill11,
46,46,knee13,
47,47,know9,
48,48,laugh6,
49,49,leaf29,
50,50,leg17,
51,51,liver14,
52,52,long6,
53,53,louse1,
54,54,man1,
55,55,many8,
56,56,meat1,
57,57,milk21,
58,58,moon1,
59,59,mountain9,
60,60,mouth11,
61,61,name1,
62,62,nail14,
63,63,neck1,
64,64,new5,
65,65,night5,
66,66,nose13,
67,67,one2,
68,68,path1,
69,69,person1,
70,70,rain1,
71,71,rain_v_12,
72,72,river24,
73,73,root22,
74,74,sand15,
75,75,see7,
76,76,seed1,
77,77,short10,
78,78,sick_be17,
79,79,sit19,
80,80,skin3,
81,81,sleep_v_21,
82,82,small27,
83,83,smoke2,
84,84,snake7,
85,85,speak30,
86,86,speak31,
87,87,stand14,
88,88,steal1,
89,89,stone7,
90,90,sun14,
91,91,tail12,
92,92,thirst13,
93,93,tongue1,
94,94,tooth5,
95,95,tree16,
96,96,two4,
97,97,walk11,
98,98,water5,
99,99,what2,
100,100,white16,
101,101,who1,
102,102,wind11,
103,103,woman15,
104,104,all9,
105,105,arm1,
106,106,ashes16,
107,107,bark22,
108,108,belly18,
109,109,big1,
110,110,bird7,
111,111,bite2,
112,112,black2,
113,113,blood11,
114,114,bone1,
115,115,breast2,
116,116,burn1,
117,117,cloud20,
118,118,cold9,
119,119,come1,
