Cognateset_ID,Comment,Cognateset_Name
all1,,all1
arm7,,arm7
ashes17,,ashes17
bark23,,bark23
belly1,,belly1
big1,,big1
bird1,,bird1
bite6,,bite6
black21,,black21
blood11,,blood11
bone10,,bone10
breast2,,breast2
burn23,,burn23
cloud19,,cloud19
cold26,,cold26
come3,,come3
dig19,,dig19
dig20,,dig20
dig21,,dig21
die1,,die1
dog1,,dog1
drink1,,drink1
dry12,,dry12
ear1,,ear1
eat1,,eat1
egg19,,egg19
elephant1,,elephant1
eye1,,eye1
fall1,,fall1
fat10,,fat10
feather19,,feather19
finger1,,finger1
fire13,,fire13
fish1,,fish1
fly1,,fly1
full8,,full8
give10,,give10
go to12,,go to12
hair3,,hair3
head9,,head9
hear10,,hear10
heart3,,heart3
horn13,,horn13
house9,,house9
kill11,,kill11
knee13,,knee13
know9,,know9
laugh6,,laugh6
leaf29,,leaf29
leg17,,leg17
liver14,,liver14
long6,,long6
louse1,,louse1
man1,,man1
many8,,many8
meat1,,meat1
milk21,,milk21
moon1,,moon1
mountain9,,mountain9
mouth11,,mouth11
name1,,name1
nail14,,nail14
neck1,,neck1
new5,,new5
night5,,night5
nose13,,nose13
one2,,one2
path1,,path1
person1,,person1
rain1,,rain1
rain (v)12,,rain (v)12
river24,,river24
root22,,root22
sand15,,sand15
see7,,see7
seed1,,seed1
short10,,short10
"sick, be17",,"sick, be17"
sit19,,sit19
skin3,,skin3
sleep (v)21,,sleep (v)21
small27,,small27
smoke2,,smoke2
snake7,,snake7
speak30,,speak30
speak31,,speak31
stand14,,stand14
steal1,,steal1
stone7,,stone7
sun14,,sun14
tail12,,tail12
thirst13,,thirst13
tongue1,,tongue1
tooth5,,tooth5
tree16,,tree16
two4,,two4
walk11,,walk11
water5,,water5
what2,,what2
white16,,white16
who1,,who1
wind11,,wind11
woman15,,woman15
all9,,all9
arm1,,arm1
ashes16,,ashes16
bark22,,bark22
belly18,,belly18
bird7,,bird7
bite2,,bite2
black2,,black2
bone1,,bone1
burn1,,burn1
cloud20,,cloud20
cold9,,cold9
come1,,come1
dig3,,dig3
drink8,,drink8
dry1,,dry1
egg16,,egg16
fall6,,fall6
fat1,,fat1
finger11,,finger11
fire10,,fire10
fly13,,fly13
give1,,give1
go to1,,go to1
hair12,,hair12
head1,,head1
hear1,,hear1
heart10,,heart10
heart11,,heart11
horn14,,horn14
house2,,house2
kill12,,kill12
kill14,,kill14
know1,,know1
laugh1,,laugh1
leaf27,,leaf27
leg10,,leg10
liver15,,liver15
long2,,long2
louse15,,louse15
man21,,man21
many9,,many9
milk8,,milk8
moon7,,moon7
mountain13,,mountain13
mouth2,,mouth2
nail1,,nail1
new6,,new6
night6,,night6
nose14,,nose14
one1,,one1
path5,,path5
rain (v)11,,rain (v)11
river23,,river23
river18,,river18
root4,,root4
sand4,,sand4
seed12,,seed12
short1,,short1
"sick, be16",,"sick, be16"
sit14,,sit14
skin27,,skin27
sleep (v)20,,sleep (v)20
small3,,small3
smoke5,,smoke5
snake1,,snake1
speak32,,speak32
stand3,,stand3
stone14,,stone14
sun12,,sun12
sun13,,sun13
tail1,,tail1
thirst14,,thirst14
tooth1,,tooth1
tree4,,tree4
two3,,two3
walk1,,walk1
water1,,water1
what3,,what3
white2,,white2
wind12,,wind12
woman2,,woman2
all10,,all10
bite7,,bite7
burn9,,burn9
cloud21,,cloud21
cloud22,,cloud22
cold27,,cold27
come2,,come2
dig22,,dig22
drink6,,drink6
drink7,,drink7
dry11,,dry11
eat4,,eat4
egg18,,egg18
egg1,,egg1
elephant7,,elephant7
feather20,,feather20
fire11,,fire11
full11,,full11
full12,,full12
go to2,,go to2
hair16,,hair16
horn2,,horn2
house10,,house10
knee14,,knee14
long1,,long1
louse16,,louse16
many12,,many12
meat2,,meat2
mouth10,,mouth10
name8,,name8
nail13,,nail13
neck16,,neck16
neck2,,neck2
new11,,new11
night7,,night7
one5,,one5
path6,,path6
river22,,river22
root23,,root23
sand3,,sand3
seed13,,seed13
sit15,,sit15
sleep (v)19,,sleep (v)19
smoke6,,smoke6
speak33,,speak33
stand1,,stand1
sun11,,sun11
tree15,,tree15
walk10,,walk10
walk9,,walk9
white3,,white3
who3,,who3
wind13,,wind13
all11,,all11
bite1,,bite1
black22,,black22
black23,,black23
bone11,,bone11
burn22,,burn22
cloud24,,cloud24
cloud25,,cloud25
dog7,,dog7
finger12,,finger12
full10,,full10
full1,,full1
give9,,give9
horn15,,horn15
house11,,house11
man22,,man22
moon8,,moon8
mountain14,,mountain14
mountain,,mountain
neck17,,neck17
new10,,new10
rain (v)4,,rain (v)4
river21,,river21
see1,,see1
seed14,,seed14
"sick, be6",,"sick, be6"
sit16,,sit16
sleep (v)18,,sleep (v)18
speak34,,speak34
speak35,,speak35
steal12,,steal12
sun9,,sun9
walk12,,walk12
what1,,what1
white18,,white18
wind5,,wind5
bark2,,bark2
bite8,,bite8
black20,,black20
blood14,,blood14
cloud26,,cloud26
cold28,,cold28
dig23,,dig23
egg,,egg
feather21,,feather21
finger2,,finger2
fire8,,fire8
fish5,,fish5
full2,,full2
give8,,give8
hair14,,hair14
house7,,house7
kill13,,kill13
knee16,,knee16
laugh4,,laugh4
leaf28,,leaf28
liver17,,liver17
man20,,man20
many10,,many10
meat5,,meat5
milk19,,milk19
nail12,,nail12
neck18,,neck18
new7,,new7
nose1,,nose1
root24,,root24
seed15,,seed15
sit1,,sit1
skin6,,skin6
sleep (v)17,,sleep (v)17
smoke1,,smoke1
stone2,,stone2
sun10,,sun10
ashes18,,ashes18
bark24,,bark24
belly19,,belly19
bite9,,bite9
blood15,,blood15
burn21,,burn21
cloud27,,cloud27
dig24,,dig24
dog5,,dog5
dry10,,dry10
egg17,,egg17
fall7,,fall7
fat9,,fat9
finger13,,finger13
fire12,,fire12
full9,,full9
give7,,give7
hair15,,hair15
many11,,many11
mountain15,,mountain15
name9,,name9
new8,,new8
night1,,night1
sand1,,sand1
seed16,,seed16
sit17,,sit17
sleep (v)1,,sleep (v)1
snake6,,snake6
speak1,,speak1
thirst15,,thirst15
two5,,two5
water6,,water6
white19,,white19
wind14,,wind14
ashes19,,ashes19
belly20,,belly20
belly21,,belly21
belly22,,belly22
big15,,big15
bird8,,bird8
bite10,,bite10
breast6,,breast6
breast7,,breast7
cloud28,,cloud28
cloud29,,cloud29
cold,,cold
dig25,,dig25
finger14,,finger14
heart9,,heart9
kill15,,kill15
knee17,,knee17
know,,know
laugh5,,laugh5
liver16,,liver16
louse14,,louse14
meat6,,meat6
meat7,,meat7
milk20,,milk20
mountain12,,mountain12
neck19,,neck19
neck20,,neck20
new1,,new1
new9,,new9
nose15,,nose15
one6,,one6
rain4,,rain4
root25,,root25
root26,,root26
sand16,,sand16
"sick, be15",,"sick, be15"
sit4,,sit4
sit18,,sit18
skin28,,skin28
sleep (v)16,,sleep (v)16
small28,,small28
small29,,small29
stand13,,stand13
sun15,,sun15
tongue2,,tongue2
tongue4,,tongue4
white20,,white20
wind10,,wind10
woman,,woman
ashes1,,ashes1
bark8,,bark8
belly4,,belly4
black3,,black3
cold1,,cold1
dig5,,dig5
egg14,,egg14
fat8,,fat8
fish12,,fish12
fly11,,fly11
give4,,give4
kill9,,kill9
knee1,,knee1
know4,,know4
leaf4,,leaf4
liver11,,liver11
louse8,,louse8
many1,,many1
neck5,,neck5
new4,,new4
night4,,night4
nose10,,nose10
river17,,river17
seed11,,seed11
"sick, be1",,"sick, be1"
sleep (v)6,,sleep (v)6
sleep (v)13,,sleep (v)13
sleep (v)23,,sleep (v)23
sleep (v)24,,sleep (v)24
small,,small
speak27,,speak27
stone13,,stone13
sun8,,sun8
thirst12,,thirst12
two1,,two1
white1,,white1
wind1,,wind1
woman1,,woman1
ashes9,,ashes9
bark16,,bark16
blood7,,blood7
blood12,,blood12
bone8,,bone8
breast5,,breast5
burn2,,burn2
cloud2,,cloud2
cold2,,cold2
cold3,,cold3
come4,,come4
dig13,,dig13
dog4,,dog4
drink5,,drink5
egg12,,egg12
egg15,,egg15
feather1,,feather1
fire7,,fire7
fish11,,fish11
go to3,,go to3
head2,,head2
heart8,,heart8
house4,,house4
kill2,,kill2
leaf23,,leaf23
liver6,,liver6
liver10,,liver10
louse2,,louse2
milk14,,milk14
mountain10,,mountain10
mountain11,,mountain11
name2,,name2
new3,,new3
rain (v)7,,rain (v)7
rain (v)8,,rain (v)8
rain (v)9,,rain (v)9
river1,,river1
sand,,sand
seed2,,seed2
"sick, be2",,"sick, be2"
skin20,,skin20
skin21,,skin21
sleep (v)10,,sleep (v)10
small4,,small4
smoke4,,smoke4
snake2,,snake2
snake3,,snake3
speak26,,speak26
stand10,,stand10
stand11,,stand11
stone10,,stone10
sun1,,sun1
tail9,,tail9
tail10,,tail10
thirst1,,thirst1
tooth2,,tooth2
walk2,,walk2
wind2,,wind2
arm4,,arm4
big12,,big12
blood4,,blood4
burn3,,burn3
cold4,,cold4
dig2,,dig2
elephant6,,elephant6
fire2,,fire2
fish3,,fish3
fly10,,fly10
give3,,give3
heart1,,heart1
horn9,,horn9
knee9,,knee9
leaf24,,leaf24
liver8,,liver8
man7,,man7
man14,,man14
mouth1,,mouth1
nose11,,nose11
sand13,,sand13
"sick, be3",,"sick, be3"
skin5,,skin5
skin22,,skin22
small5,,small5
speak6,,speak6
stone1,,stone1
walk3,,walk3
walk4,,walk4
wind3,,wind3
woman3,,woman3
woman4,,woman4
bark20,,bark20
belly8,,belly8
big14,,big14
bird3,,bird3
bite5,,bite5
