ID,Language_ID,Concept,Form,Comment,Segments,Source
bibaana_dumu__arm,bibaana_dumu,arm,-kwɔ̂,,,
bibaana_dumu__ashes,bibaana_dumu,ashes,tɔ́,,,
bibaana_dumu__belly,bibaana_dumu,belly,dúmú,,,
bibaana_dumu__bird,bibaana_dumu,bird,ɲúní,,,
bibaana_dumu__blood,bibaana_dumu,blood,-kɛ́là,,,
bibaana_dumu__bone,bibaana_dumu,bone,-kóá,,,
bibaana_dumu__breast,bibaana_dumu,breast,bílù,,,
bibaana_dumu__cloud,bibaana_dumu,cloud,báɣá,,,
bibaana_dumu__dog,bibaana_dumu,dog,-mbwá,,,
bibaana_dumu__ear,bibaana_dumu,ear,-tšwí,,,
bibaana_dumu__egg,bibaana_dumu,egg,ké,,,
bibaana_dumu__eye,bibaana_dumu,eye,-úù,,,
bibaana_dumu__fat,bibaana_dumu,fat,míìlì,,,
bibaana_dumu__feather,bibaana_dumu,feather,-sáà,,,
bibaana_dumu__fire,bibaana_dumu,fire,-mbàá,,,
bibaana_dumu__fish,bibaana_dumu,fish,mbísì,,,
bibaana_dumu__ground,bibaana_dumu,ground,máánù,,,
bibaana_dumu__hair,bibaana_dumu,hair,-mpfúù,,,
bibaana_dumu__head,bibaana_dumu,head,-tšɥí,,,
bibaana_dumu__heart,bibaana_dumu,heart,-kóà,,,
bibaana_dumu__horn,bibaana_dumu,horn,-búɣú,,,
bibaana_dumu__knee,bibaana_dumu,knee,-búɣù,,,
bibaana_dumu__leaf,bibaana_dumu,leaf,-tšúlí džúrì,,,
bibaana_dumu__leg,bibaana_dumu,leg,-kúlú,,,
bibaana_dumu__liver,bibaana_dumu,liver,-ntšɔ́ɣɔ́,,,
bibaana_dumu__louse,bibaana_dumu,louse,ntšyɛ́ná,,,
bibaana_dumu__man,bibaana_dumu,man,lúmè,,,
bibaana_dumu__meat,bibaana_dumu,meat,ɲámá,,,
bibaana_dumu__moon,bibaana_dumu,moon,-ŋgwé,,,
bibaana_dumu__mountain,bibaana_dumu,mountain,byú,,,
bibaana_dumu__mouth,bibaana_dumu,mouth,-ɲɥá,,,
bibaana_dumu__nail,bibaana_dumu,nail,-ndàù,,,
bibaana_dumu__name,bibaana_dumu,name,ŋkúmà,,,
bibaana_dumu__neck,bibaana_dumu,neck,-bɔ́à,,,
bibaana_dumu__night,bibaana_dumu,night,-mfíbá,,,
bibaana_dumu__nose,bibaana_dumu,nose,-mbûm,,,
bibaana_dumu__one,bibaana_dumu,one,-mɔ́,,,
bibaana_dumu__path,bibaana_dumu,path,ndžèlá,,,
bibaana_dumu__person,bibaana_dumu,person,mbúrú/báárá,,,
bibaana_dumu__rain,bibaana_dumu,rain,-mvwálá,,,
bibaana_dumu__root,bibaana_dumu,root,síɣú,,,
bibaana_dumu__sand,bibaana_dumu,sand,-džúlù,,,
bibaana_dumu__skin,bibaana_dumu,skin,-báánà,,,
bibaana_dumu__sleep_n,bibaana_dumu,sleep_n,túà,,,
