Language,Glottolog_Name,Glottocode,Guthrie_Code,ISO_Code,comment,Language_ID
Duala,Duala,dual1243,A24,dua,,duala
Ntomba,Ntomba,ntom1248,C35a,nto,,ntomba
Ngombe,Ngombe (Democratic Republic of Congo),ngom1268,C41,ngc,,ngombe
Bushoong,Bushoong,bush1247,C83,buf,,bushoong
Yombe,Yombe,yomb1244,H16c-d,yom,,kiyombi
Njebi,Njebi,njeb1242,B52,nzb,,nzebi
Nzadi,Nzadi,nzad1234,B865,nzd,,nzadi
Lega,Lega-Mwenga,lega1250,D25,lgm,,lega
Kikuyu,Kikuyu,kiku1240,E51,kik,,kikuyu
Nyamwezi,Nyamwezi,nyam1276,F22,nym,,nyamwezi
Swahili,Swahili,swah1253,G42,swh,,swahili
Ganda,Ganda,gand1255,JE15,lug,,luganda
Ha,Ha,haaa1252,JD66,haq,,ha
Fwe,Fwe,fwee1238,K402,fwe,,fwe
Subiya,Subiya,subi1246,K42,sbs,,subiya
Totela,Totela,tote1238,K41,ttl,,totela
Lozi,Lozi,lozi1239,K21,loz,,lozi
Manyo,Diriku-Shambyu,diri1252,K334,diu,,manyo
Kwangali,Kwangali,kwan1273,K33,kwn,,kwangali
Mbukushu,Mbukushu,mbuk1240,K333,mhw,,mbukushu
Lunda,Lunda,lund1266,L52,lun,,lunda
Nyakyusa,Nyakyusa-Ngonde,nyak1260,M31,nyy,,nyakyusa
Bemba,Bemba (Zambia),bemb1257,M42,bem,,bemba
Lamba,Lamba,lamb1271,M54,lam,,lamba
Lenje,Lenje,lenj1248,M61,leh,,lenje
Ila,Ila,ilaa1246,M63,ilb,,ila
Tonga (Zambia),Tonga (Zambia),tong1318,M64,toi,,zambian_tonga
Kunda,Chikunda,kund1255,N42,kdn,,kunda
Tanzanian Ngoni,Tanzanian Ngoni,tanz1241,N12,ngo,,tanzanian_ngoni
Mozambican Ngoni,Mozambican Ngoni,moza1251,N10,xnq,,mozambican_ngoni
Tumbuka,Tumbuka,tumb1250,N21,tum,,tumbuka
Chewa,Nyanja,nyan1308,N31,nya,,chewa
Yao,Yao,yaoo1241,P21,yao,,yao
Koti,Koti,koti1238,P311,eko,,koti
Central Makhuwa,Central Makua,cent2033,P31A,vmw,,central_makhuwa
Makhuwa Nahara,Enaharra,enah1238,P31E,,,makhuwa_nahara
Cuwabo,Chuwabu,chuw1238,P34,chw,,cuwabo
Umbundu,Umbundu,umbu1257,R11,umb,,umbundu
Humbe,Humbe,humb1241,R13,nyk,,humbe
Cilenge,Cilenge,cile1234,R13,,,cilenge
Kwandu,Kwandu,kwan1289,,xdo,Classification not given in Jordan 2015; not listed in Maho 2009; Ethnologue lists it as Nyaneka (R13) variety- HG,kwandu
Kuvale,Kuvale,kuva1244,R101,olu,,kuvale
Mbandja,Mbadja,mbad1234,R213,lnb,,mbadja
Mbalanhu,Mbalanhu,mbal1262,R214,lnb,,mbalanhu
Kwanyama,Kuanyama,kuan1247,R21,kua,,kwanyama
Herero,Herero,here1253,R31,her,,herero
Namibian Yei,Caprivi Yeyi,capr1234,R41A,yey,,namibian_yeyi
Botswana Yei,Ngamiland Yeyi,shir1261,R41B,yey,,botswana_yeyi
Zezuru,Zezuru,zezu1238,S12,,,zezuru
Manyika,Manyika,many1258,S13,mxc,,manyika
Karanga,Karanga (Atlantic-Congo),kara1480,S14,,,karanga
Ndau,Ndau,ndau1241,S15,ndc,,ndau
Kalanga,Kalanga,kala1384,S16,kck,,ikalanga
Nambya,Nambya,namb1291,S16B,nmq,,nambya
Venda,Venda,vend1245,S21,ven,,venda
Kutswe,Khutswe,khut1241,S302,,,kutswe
Pai,Pai (Pedi),paii1250,S303,,,pai
Pulana,Pulana,pula1264,S304,,,pulana
Tswana,Tswana,tswa1253,S31,tsn,,tswana
Tawana,Tawana,tawa1269,S31c,,,tawana
Kgalagadi,Kgalagadi,kgal1244,S311,xkv,,kgalagadi
Tjhauba,Tjhauba,tjha1234,S311,,,tjhauba
Northern Sotho,Pedi,pedi1238,S32,nso,,northern_sotho
Lobedu,Lobedu,lobe1242,S32b,,,lobedu
Southern Sotho,Southern Sotho,sout2807,S33,sot,,southern_sotho
Bhaca,Bhaca,bhac1238,S402,,,bhaca
Phuthi,Phuthi,phut1246,S404,,,phuthi
Nhlangwini,Nhlangwini,nhla1239,S405,,,nhlangwini
North Lala,North_Lala,lala1263,S406,,,north_lala
South Lala,South_Lala,lala1263,S406,,,south_lala
South Ndebele,South Transvaal Ndebele,sout3270,S407,nbl,,south_ndebele
North Ndebele,Sumayela Ndebele,sout2808,S408,,,north_ndebele
Xhosa,Xhosa,xhos1239,S41,xho,,xhosa
Zulu,Zulu,zulu1248,S42,zul,,zulu
Swati,Swati,swat1243,S43,ssw,,swati
Zimbabwean Ndebele,Zimbabwean Ndebele,nort2795,S44,nde,,zimbabwean_ndebele
Tswa,Tswa,tswa1255,S51,tsc,,tshwa
Tsonga,Tsonga,tson1249,S53,tso,,tsonga
Ronga,Ronga,rong1268,S54,rng,,ronga
Copi,Chopi,chop1243,S61,cce,,copi
Mozambican Tonga,Gitonga,gito1238,S62,toh,,mozambican_tonga
