Form_ID,Cognateset_ID,Cognate_ID,Comment
1,all1,1,
2,arm7,2,
3,ashes17,3,
4,bark23,4,
5,belly1,5,
6,big1,6,
7,bird1,7,
8,bite6,8,
9,black21,9,
10,blood11,10,
11,bone10,11,
12,breast2,12,
13,burn23,13,
14,cloud19,14,
15,cold26,15,
16,come3,16,
17,dig19,17,
18,dig20,18,
19,dig21,19,
20,die1,20,
21,dog1,21,
22,drink1,22,
23,dry12,23,
24,ear1,24,
25,eat1,25,
26,egg19,26,
27,elephant1,27,
28,eye1,28,
29,fall1,29,
30,fat10,30,
31,feather19,31,
32,finger1,32,
33,fire13,33,
34,fish1,34,
35,fly1,35,
36,full8,36,
37,give10,37,
38,go to12,38,
39,hair3,39,
40,head9,40,
41,hear10,41,
42,heart3,42,
43,horn13,43,
44,house9,44,
45,kill11,45,
46,knee13,46,
47,know9,47,
48,laugh6,48,
49,leaf29,49,
50,leg17,50,
51,liver14,51,
52,long6,52,
53,louse1,53,
54,man1,54,
55,many8,55,
56,meat1,56,
57,milk21,57,
58,moon1,58,
59,mountain9,59,
60,mouth11,60,
61,name1,61,
62,nail14,62,
63,neck1,63,
64,new5,64,
65,night5,65,
66,nose13,66,
67,one2,67,
68,path1,68,
69,person1,69,
70,rain1,70,
71,rain (v)12,71,
72,river24,72,
73,root22,73,
74,sand15,74,
75,see7,75,
76,seed1,76,
77,short10,77,
78,"sick, be17",78,
79,sit19,79,
80,skin3,80,
81,sleep (v)21,81,
82,small27,82,
83,smoke2,83,
84,snake7,84,
85,speak30,85,
86,speak31,86,
87,stand14,87,
88,steal1,88,
89,stone7,89,
90,sun14,90,
91,tail12,91,
92,thirst13,92,
93,tongue1,93,
94,tooth5,94,
95,tree16,95,
96,two4,96,
97,walk11,97,
98,water5,98,
99,what2,99,
100,white16,100,
101,who1,101,
102,wind11,102,
103,woman15,103,
104,all9,104,
105,arm1,105,
106,ashes16,106,
107,bark22,107,
108,belly18,108,
109,big1,109,
110,bird7,110,
111,bite2,111,
112,black2,112,
113,blood11,113,
114,bone1,114,
115,breast2,115,
116,burn1,116,
117,cloud20,117,
118,cold9,118,
119,come1,119,
120,dig3,120,
121,die1,121,
122,dog1,122,
123,drink8,123,
124,dry1,124,
125,ear1,125,
126,eat1,126,
127,egg16,127,
128,elephant1,128,
129,eye1,129,
130,fall6,130,
131,fat1,131,
132,feather19,132,
133,finger11,133,
134,fire10,134,
135,fish1,135,
136,fly13,136,
137,full8,137,
138,give1,138,
139,go to1,139,
140,hair12,140,
141,head1,141,
142,hear1,142,
143,heart3,143,
144,heart10,144,
145,heart11,145,
146,horn14,146,
147,house2,147,
148,kill12,148,
149,kill14,149,
150,knee13,150,
151,know1,151,
152,laugh1,152,
153,leaf27,153,
154,leg10,154,
155,liver15,155,
156,long2,156,
157,louse15,157,
158,man21,158,
159,many9,159,
160,meat1,160,
161,milk8,161,
162,moon7,162,
163,mountain13,163,
164,mouth2,164,
165,name1,165,
166,nail1,166,
167,neck1,167,
168,new6,168,
169,night6,169,
170,nose14,170,
171,one1,171,
172,path5,172,
173,person1,173,
174,rain1,174,
175,rain (v)11,175,
176,river23,176,
177,river18,177,
178,root4,178,
179,sand4,179,
180,see7,180,
181,seed12,181,
182,short1,182,
183,"sick, be16",183,
184,sit14,184,
185,skin27,185,
186,sleep (v)20,186,
187,small3,187,
188,smoke5,188,
189,snake1,189,
190,speak32,190,
191,stand3,191,
192,steal1,192,
193,stone7,193,
194,stone14,194,
195,sun12,195,
196,sun13,196,
197,tail1,197,
198,thirst14,198,
199,tongue1,199,
200,tooth1,200,
201,tree4,201,
202,two3,202,
203,walk1,203,
204,water1,204,
205,what3,205,
206,white2,206,
207,who1,207,
208,wind12,208,
209,woman2,209,
210,all10,210,
211,arm1,211,
212,ashes17,212,
213,bark22,213,
214,belly1,214,
215,big1,215,
216,bird7,216,
217,bite7,217,
218,black21,218,
219,black21,219,
220,blood11,220,
