Language_ID,Concept_ID,Form,Comment,Cognateset
Duala,all,ɓɛ́sɛ̃,,1
Duala,arm,dia,,7
Duala,ashes,mabúdú,,17
Duala,bark,bwelé,,23
Duala,belly,dibum,,1
Duala,big,éndɛ̃nɛ̀,,1
Duala,bird,inɔ̌n,,1
Duala,bite,kukwa,,6
Duala,black,wínda,,21
Duala,blood,mayǎ,,11
Duala,bone,ewesé,,10
Duala,breast,diɓɛ̂,,2
Duala,burn,dísɛ,,23
Duala,cloud,mawíndí,,19
Duala,cold,mulɔlɔkɔ,,26
Duala,come,pɔ,,3
Duala,dig,pika,,19
Duala,dig,poa,,20
Duala,dig,pula,,21
Duala,die,wɔ́,,1
Duala,dog,mbɔ́,,1
Duala,drink,nyɔ,,1
Duala,dry,mukɛ́tí,,12
Duala,ear,toi,,1
Duala,eat,ɗa,,1
Duala,egg,muɛŋ,,19
Duala,elephant,njou,,1
Duala,eye,dísɔ̀,,1
Duala,fall,ko,,1
Duala,fat,diwɔ́ngí,,10
Duala,feather,esáó,,19
Duala,finger,mo-ne,,1
Duala,fire,wéá,,13
Duala,fish,súè,,1
Duala,fly,ngingi,,1
Duala,full,é lóndi,,8
Duala,give,ɓola,,10
Duala,go to,ala,,12
Duala,hair,nyɔ̀ɔ́,,3
Duala,head,mulopo,,9
Duala,hear,senga,,10
Duala,heart,mulema,,3
Duala,horn,tɔ́ngɔ,,13
Duala,house,ndabo,,9
Duala,kill,bwâ,,11
Duala,knee,doɓɔ́ngɔ́,,13
Duala,know,bía,,9
Duala,laugh,lo,,6
Duala,leaf,eyadí,,29
Duala,leg,mu,,17
Duala,liver,diɓadi,,14
Duala,long,bwabá,,6
Duala,louse,nìná,,1
Duala,man,mùmí,,1
Duala,many,jǐtà,,8
Duala,meat,ɲama,,1
Duala,milk,manongo,,21
Duala,moon,mɔ́dì,,1
Duala,mountain,muɗóngó,,9
Duala,mouth,mudumbu,,11
Duala,name,dínà,,1
Duala,nail,nyandi,,14
Duala,neck,nyíngó,,1
Duala,new,pényá,,5
Duala,night,bulu,,5
Duala,nose,mpémbá,,13
Duala,one,pɔ́ / ewɔ́,,2
Duala,path,ngea,,1
Duala,person,mòtò,,1
Duala,rain,mbúa,,1
Duala,rain (v),yole,,12
Duala,river,mopi,,24
Duala,root,mwangá,,22
Duala,sand,mukókó,,15
Duala,see,jɛ̌nɛ̀,,7
Duala,seed,mboto,,1
Duala,short,sungu,,10
Duala,"sick, be",boa,,17
Duala,sit,jà ó wásẽ,,19
Duala,skin,eyoɓo,,3
Duala,sleep (v),nanga,,21
Duala,small,ésadi,,27
Duala,smoke,ítutu,,2
Duala,snake,nam'a bwaba,,7
Duala,speak,kwala,,30
Duala,speak,pela,,31
Duala,stand,tɛ́mɛ̀ mɔ́ny,,14
Duala,steal,iba,,1
Duala,stone,ɗále,,7
Duala,sun,wéì,,14
Duala,tail,mondó,,12
Duala,thirst,nongi,,13
Duala,tongue,eyěmɛ,,1
Duala,tooth,songá,,5
Duala,tree,eɓongó,,16
Duala,two,ɓébǎ,,4
Duala,walk,ɗangwa,,11
Duala,water,madíɓá,,5
Duala,what,njé,,2
Duala,white,sánga,,16
Duala,who,njá,,1
Duala,wind,ngo,,11
Duala,woman,múto,,15
Ntomba,all,(nk)umá,,9
Ntomba,arm,lobɔ́kɔ,,1
Ntomba,ashes,metókó,,16
Ntomba,bark,lopoho ~ mpoho ~ lòpòhó,,22
Ntomba,belly,ikundú,,18
Ntomba,big,nɛ́nɛ́,,1
Ntomba,bird,mpulú,,7
Ntomba,bite,lamata,,2
Ntomba,black,ílo,,2
Ntomba,blood,makila,,11
Ntomba,bone,lokúa ~ nkúa,,1
Ntomba,breast,bɛ́lɛ,,2
Ntomba,burn,yɛ,,1
Ntomba,cloud,yǒmbi ~ biómbi,,20
Ntomba,cold,mpíɔ,,9
Ntomba,come,yá,,1
Ntomba,dig,tima,,3
Ntomba,die,w,,1
Ntomba,dog,bwá,,1
Ntomba,drink,mina,,8
Ntomba,dry,óm,,1
Ntomba,ear,toi,,1
Ntomba,eat,lɛ(kɛ),,1
Ntomba,egg,kelé,,16
Ntomba,elephant,njɔu,,1
Ntomba,eye,lǐho,,1
Ntomba,fall,kita,,6
Ntomba,fat,maúta,,1
Ntomba,feather,lòhálá,,19
Ntomba,finger,mohai,,11
Ntomba,fire,twɛ̌,,10
Ntomba,fish,nsí,,1
Ntomba,fly,lotunɡu,,13
Ntomba,full,tónd,,8
Ntomba,give,pa,,1
Ntomba,go to,ha,,1
Ntomba,hair,búo,,12
Ntomba,head,motu,,1
Ntomba,hear,ók,,1
Ntomba,heart,mo-téma,,3
Ntomba,heart,i-bale,,10
Ntomba,heart,mo-lóko,,11
Ntomba,horn,ihéké,,14
Ntomba,house,itumba,,2
Ntomba,kill,liak,,12
Ntomba,kill,bòmá,,14
Ntomba,knee,íbɔ́ngɔ́,,13
Ntomba,know,ebá,,1
Ntomba,laugh,hɛkɛ,,1
Ntomba,leaf,lokáhá,,27
Ntomba,leg,lokolo,,10
Ntomba,liver,lopíko ~ mpíko,,15
Ntomba,long,talé,,2
Ntomba,louse,lohili,,15
Ntomba,man,ele,,21
Ntomba,many,íké,,9
Ntomba,meat,ɲama,,1
Ntomba,milk,mabɛlɛ,,8
Ntomba,moon,nsóngé,,7
Ntomba,mountain,ngómbá ~ ngòmbá,,13
Ntomba,mouth,munya,,2
Ntomba,name,ina,,1
Ntomba,nail,lokála ~ nkála,,1
Ntomba,neck,nkíngó,,1
Ntomba,new,tɛmú,,6
Ntomba,night,botío,,6
Ntomba,nose,moólo ~ miólo,,14
Ntomba,one,mɔyá(ka),,1
Ntomba,path,mbókà ~ mambóka,,5
Ntomba,person,motô,,1
Ntomba,rain,mbúlà,,1
Ntomba,rain (v),tanga,,11
Ntomba,river,mo-liba,,23
Ntomba,river,mo-longo,,18
Ntomba,root,lio,,4
Ntomba,sand,nsɛŋgɛ,,4
Ntomba,see,ɛ́nɛ,,7
Ntomba,seed,wopo,,12
Ntomba,short,ube,,1
Ntomba,"sick, be",oka bionge,,16
Ntomba,sit,nyɛ́o,,14
Ntomba,skin,lopoho,,27
Ntomba,sleep (v),ongo,,20
Ntomba,small,kɛ́,,3
Ntomba,smoke,linga,,5
Ntomba,snake,njɔɔ,,1
Ntomba,speak,tepela,,32
Ntomba,stand,tɛ́lɛm,,3
Ntomba,steal,iba,,1
Ntomba,stone,itale,,7
